route_id,trip_id,service_id,trip_headsign,direction_id,shape_id
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146409_6010,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146410_6012,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146411_6014,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146413_6018,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146416_6024,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146418_6028,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146420_6032,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146422_6036,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146423_6038,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146424_6040,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146427_6046,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146429_6050,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146431_6054,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146432_6056,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146433_6058,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146434_6060,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146435_6062,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146437_6066,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146439_6070,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146440_6072,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146442_6076,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146443_6078,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146452_6088,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146454_6090,ATB:DayType:866,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146458_7002,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146464_7008,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146470_7014,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146476_7020,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146482_7026,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146488_7032,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146494_7038,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146500_7044,ATB:DayType:951,Reppe,1,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146502_3,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146503_5,ATB:DayType:877,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146506_11,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146507_13,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146510_19,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146511_21,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146514_27,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146517_33,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146518_35,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146519_37,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146520_39,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146522_41,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146523_43,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146524_45,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146525_47,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146526_49,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146527_51,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146528_53,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146529_55,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146530_57,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146531_59,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146532_61,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146533_63,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146535_65,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146536_67,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146538_69,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146540_71,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146542_73,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146544_75,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146546_77,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146548_79,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146554_87,ATB:DayType:767,Ranheim idrettsplass,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146555_89,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146556_91,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146558_95,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146559_97,ATB:DayType:767,Ranheim idrettsplass,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146564_103,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146565_105,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146568_107,ATB:DayType:767,Ranheim,0,
ATB:Line:2_41,ATB:ServiceJourney:41_211220096146570_109,ATB:DayType:767,Ranheim,0,
