stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:76726,Hansmoen,64.464908,12.825331,,,NSR:StopPlace:44599,,700,01
NSR:Quay:76727,Hansmoen,64.464858,12.824647,,,NSR:StopPlace:44599,,700,02
NSR:Quay:76730,Staur,63.636408,10.839770,,,NSR:StopPlace:44600,,700,03
NSR:Quay:76731,Staur,63.636228,10.840019,,,NSR:StopPlace:44600,,700,02
NSR:Quay:76732,Staur,63.636281,10.840341,,,NSR:StopPlace:44600,,700,01
NSR:Quay:76735,Mortenslund,64.466142,12.924251,,,NSR:StopPlace:44602,,700,02
NSR:Quay:76736,Mortenslund,64.466223,12.922800,,,NSR:StopPlace:44602,,700,01
NSR:Quay:76737,Brubakken,63.632933,10.833552,,,NSR:StopPlace:44603,,700,01
NSR:Quay:76738,Brubakken,63.632665,10.833305,,,NSR:StopPlace:44603,,700,03
NSR:Quay:76739,Brubakken,63.632613,10.832694,,,NSR:StopPlace:44603,,700,02
NSR:Quay:76742,Sibirien,64.479642,13.035693,,,NSR:StopPlace:44605,,700,02
NSR:Quay:76743,Sibirien,64.479717,13.035772,,,NSR:StopPlace:44605,,700,01
NSR:Quay:76744,Minde,63.603773,10.792249,,,NSR:StopPlace:44607,,700,02
NSR:Quay:76745,Vollen,63.443272,11.644684,,,NSR:StopPlace:44606,,700,02
NSR:Quay:76746,Vollen,63.443224,11.644904,,,NSR:StopPlace:44606,,700,01
NSR:Quay:76747,Minde,63.603790,10.792402,,,NSR:StopPlace:44607,,700,01
NSR:Quay:76748,Fossland,64.485558,12.335801,,,NSR:StopPlace:44608,,700,01
NSR:Quay:76749,Fossland,64.485571,12.336080,,,NSR:StopPlace:44608,,700,02
NSR:Quay:76750,Brennmælen,63.443839,11.671303,,,NSR:StopPlace:44609,,700,01
NSR:Quay:76751,Brennmælen,63.443792,11.671431,,,NSR:StopPlace:44609,,700,02
NSR:Quay:76752,Myraunet,63.607980,10.799190,,,NSR:StopPlace:44610,,700,02
NSR:Quay:76753,Myraunet,63.607875,10.798995,,,NSR:StopPlace:44610,,700,01
NSR:Quay:76754,Selliness,64.511575,12.368592,,,NSR:StopPlace:44611,,700,02
NSR:Quay:76755,Selliness,64.511639,12.368787,,,NSR:StopPlace:44611,,700,01
NSR:Quay:76756,Leiret,63.443916,11.675138,,,NSR:StopPlace:44612,,700,02
NSR:Quay:76757,Leiret,63.443990,11.675313,,,NSR:StopPlace:44612,,700,01
NSR:Quay:76758,Kvamkorsen,63.618638,10.816931,,,NSR:StopPlace:44613,,700,01
NSR:Quay:76759,Kvamkorsen,63.618668,10.817419,,,NSR:StopPlace:44613,,700,02
NSR:Quay:76760,Kvamkorsen,63.618902,10.817279,,,NSR:StopPlace:44613,,700,03
NSR:Quay:76761,Gartlandelv,64.526389,12.386164,,,NSR:StopPlace:44614,,700,01
NSR:Quay:76762,Gartlandelv,64.526159,12.385566,,,NSR:StopPlace:44614,,700,02
NSR:Quay:76763,Knoppan,63.432734,11.713040,,,NSR:StopPlace:44615,,700,02
NSR:Quay:76766,Åtlo,63.645293,10.865462,,,NSR:StopPlace:44616,,700,01
NSR:Quay:76767,Gartland,64.530028,12.400686,,,NSR:StopPlace:44617,,700,02
NSR:Quay:76768,Gartland,64.530094,12.401355,,,NSR:StopPlace:44617,,700,01
NSR:Quay:76771,Fossli,63.638102,10.846628,,,NSR:StopPlace:44619,,700,01
NSR:Quay:76772,Fossli,63.638183,10.846856,,,NSR:StopPlace:44619,,700,02
NSR:Quay:76775,Fiskumfoss,64.548631,12.460558,,,NSR:StopPlace:44621,,700,01
NSR:Quay:76776,Fiskumfoss,64.549330,12.460879,,,NSR:StopPlace:44621,,700,02
NSR:Quay:76777,Kvarme,63.583106,10.770351,,,NSR:StopPlace:44622,,700,02
NSR:Quay:76778,Kvarme,63.583161,10.770172,,,NSR:StopPlace:44622,,700,01
NSR:Quay:76781,Fiskum,64.553182,12.466933,,,NSR:StopPlace:44624,,700,02
NSR:Quay:76782,Fiskum,64.553006,12.466727,,,NSR:StopPlace:44624,,700,01
NSR:Quay:76783,Hellan,63.584307,10.766127,,,NSR:StopPlace:44625,,700,01
NSR:Quay:76784,Hellan,63.584252,10.766076,,,NSR:StopPlace:44625,,700,02
NSR:Quay:76786,Fossen,63.414887,11.740614,,,NSR:StopPlace:44626,,700,01
NSR:Quay:76787,Harran,64.560826,12.490895,,,NSR:StopPlace:44627,,700,02
NSR:Quay:76788,Harran,64.560927,12.491854,,,NSR:StopPlace:44627,,700,01
NSR:Quay:76789,Flamo,63.397942,11.789937,,,NSR:StopPlace:44628,,700,02
NSR:Quay:76793,Verksgården,63.398874,11.837869,,,NSR:StopPlace:44631,,700,02
