from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349103_10,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347399_6,1
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349058_20,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347402_14,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331757_54,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341764_16,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331791_78,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341911_28,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331799_84,NSR:Quay:75607,ATB:ServiceJourney:72_210927153343816_30,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331805_90,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341773_32,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331811_96,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341775_34,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331829_6002,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341730_6002,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331832_6006,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341731_6004,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331835_6012,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341777_6006,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331837_6014,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341779_6008,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331843_6020,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341781_6010,1
NSR:Quay:75172,ATB:ServiceJourney:75_211028073285214_14,NSR:Quay:75172,ATB:ServiceJourney:76_211028073285276_8,1
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349115_6,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347398_4,1
NSR:Quay:75172,ATB:ServiceJourney:75_210927153349106_16,NSR:Quay:75172,ATB:ServiceJourney:76_210927153347401_12,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285222_26,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295072_37,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285220_22,NSR:Quay:74037,ATB:ServiceJourney:77_211220096157889_33,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285214_14,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295093_29,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285232_7002,NSR:Quay:74037,ATB:ServiceJourney:77_211028073295082_7003,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285228_6010,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340248_6009,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285226_6006,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340246_6005,1
NSR:Quay:74037,ATB:ServiceJourney:75_211028073285224_6002,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340244_6001,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349111_6010,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340248_6009,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349110_6008,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340247_6007,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008112_7049,NSR:Quay:75658,ATB:ServiceJourney:70_211028073290485_7043,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111125008114_7051,NSR:Quay:75658,ATB:ServiceJourney:70_211220096153348_7045,1
NSR:Quay:75658,ATB:ServiceJourney:1_220111127750700_6093,NSR:Quay:75658,ATB:ServiceJourney:70_210927153347273_6063,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331700_2,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341765_2,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331705_8,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341723_4,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331715_16,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341754_6,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331727_24,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341758_8,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331733_30,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341761_10,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331745_42,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341762_12,1
NSR:Quay:75607,ATB:ServiceJourney:1_210927153331751_48,NSR:Quay:75607,ATB:ServiceJourney:72_210927153341763_14,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349065_7006,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340255_7003,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349063_7002,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340253_7001,1
NSR:Quay:74037,ATB:ServiceJourney:75_210927153349061_6014,NSR:Quay:74037,ATB:ServiceJourney:77_210927153340251_6011,1
