route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
ATB:Line:0071-2018-08-13,ATB:Authority:160,71,Heimdal- Spongdal,,704,,,
ATB:Line:0106-2018-08-13,ATB:Authority:160,106,Nattbuss Lade/Værestrøa,,704,,,
ATB:Line:0350-2018-08-13,ATB:Authority:160,350,Trondheim - Rissa - Åfjord - O,,704,,,
ATB:Line:0592-2018-08-13,ATB:Authority:160,592,Åfjord - Stjern,,704,,,
ATB:Line:0108-2018-08-13,ATB:Authority:160,108,Nattbuss Stavset,,704,,,
ATB:Line:0086-2018-08-13,ATB:Authority:160,86,Melhus- Lade via Omkj. v.,,704,,,
ATB:Line:0066-2018-08-13,ATB:Authority:160,66,M1- Moholt- Stokkhaugen,,704,,,
ATB:Line:0505-2018-08-13,ATB:Authority:160,505,Melhus - Skaun - Børsa,,704,,,
ATB:Line:0038-2018-08-13,ATB:Authority:160,38,Stjørdal- Hommelvik- D1- Melhu,,704,,,
ATB:Line:0175-2018-08-13,ATB:Authority:160,175,Nattbuss sentrum- Spongdal,,704,,,
ATB:Line:0540-2018-08-13,ATB:Authority:160,540,Røros - Synnervika,,704,,,
ATB:Line:0037-2018-08-13,ATB:Authority:160,37,D2- Vikhammeråsen,,704,,,
ATB:Line:0580-2018-08-13,ATB:Authority:160,580,Oppdal - Gjevilvasshytta,,704,,,
ATB:Line:0330-2018-08-13,ATB:Authority:160,330,Trondheim - Stjørdal - Selbu -,,704,,,
ATB:Line:0601-2018-08-13,ATB:Authority:160,601,Stjørdal stasjon - Terrassehus,,704,,,
ATB:Line:0340-2018-08-13,ATB:Authority:160,340,Trondheim - Støren - Røros,,704,,,
ATB:Line:0105-2018-08-13,ATB:Authority:160,105,Nattbuss Buenget,,704,,,
ATB:Line:0103-2018-08-13,ATB:Authority:160,103,Nattbuss Kroppanmarka/Sjetnema,,704,,,
ATB:Line:0855-2018-08-13,ATB:Authority:160,855,Garten - Storfosna,,1004,,,
ATB:Line:0593-2018-08-13,ATB:Authority:160,593,Åfjord - Flenstad,,704,,,
ATB:Line:0480-2018-08-13,ATB:Authority:160,480,(Trondheim) - Støren - Berkåk,,704,,,
ATB:Line:0082-2018-08-13,ATB:Authority:160,82,D1- Byåsen- Flatåsen- Kolstad-,,704,,,
ATB:Line:0107-2018-08-13,ATB:Authority:160,107,Nattbuss Reppe/Vikåsen/Fortuna,,704,,,
ATB:Line:0504-2018-08-13,ATB:Authority:160,504,Melhus - Hølonda,,704,,,
ATB:Line:0511-2018-08-13,ATB:Authority:160,511,Skaun - Børsa,,704,,,
ATB:Line:0596-2018-08-13,ATB:Authority:160,596,Vikvatnet - Bessaker,,704,,,
ATB:Line:0080-2018-08-13,ATB:Authority:160,80,Værestrøa- Jakobsli- Sandmoen-,,704,,,
ATB:Line:0510-2018-08-13,ATB:Authority:160,510,Orkanger skysstasjon - Hovsbak,,6,,,
ATB:Line:0595-2018-08-13,ATB:Authority:160,595,Reppkleiv - Roan,,704,,,
ATB:Line:0870-2018-08-13,ATB:Authority:160,870,Brekstad - Valset,,1004,,,
ATB:Line:0597-2018-08-13,ATB:Authority:160,597,Vingsand - Osen,,704,,,
ATB:Line:0594-2018-08-13,ATB:Authority:160,594,Åfjord  - Lauvøy,,704,,,
ATB:Line:0090-2018-06-25,ATB:Authority:160,90,Lundåsen- Lade via Omkj.v,,704,,,
ATB:Line:0010-2018-06-25,ATB:Authority:160,10,K1- Skistua,,704,,,
ATB:Line:0119-2018-08-13,ATB:Authority:160,119,Nattbuss Byåsen/Flatåsen,,704,,,
ATB:Line:0515-2018-08-13,ATB:Authority:160,515,Ilhaugen - Buvika,,704,,,
ATB:Line:0094-2018-06-25,ATB:Authority:160,94,Valentinlyst- Sluppen- Lade,,704,,,
ATB:Line:0490-2018-06-25,ATB:Authority:160,490,Osen - Sjøåsen,,704,,,
ATB:Line:0098-2018-06-25,ATB:Authority:160,98,D2- Nortura,,704,,,
ATB:Line:0093-2018-06-25,ATB:Authority:160,93,Vikåsen/Ranh.- Lade- Sandmoen,,704,,,
ATB:Line:0006-2018-06-25,ATB:Authority:160,6,Værestrøa- M2- Flatåsen,,704,,,
ATB:Line:0007-2018-06-25,ATB:Authority:160,7,Reppe/Vikåsen- M2- Romolslia,,704,,,
ATB:Line:0091-2018-06-25,ATB:Authority:160,91,Lundåsen- K2- Sandmoen,,704,,,
ATB:Line:0092-2018-06-25,ATB:Authority:160,92,Flatåsen- Heimdal/Tiller- D2,,704,,,
ATB:Line:0521-2018-06-25,ATB:Authority:160,521,Fillan - Fjellværøya - Fillan,,704,,,
ATB:Line:0005-2018-06-25,ATB:Authority:160,5,Dragvoll- K1- Buenget,,704,,,
ATB:Line:0524-2018-06-25,ATB:Authority:160,524,Sistranda - Gurvikdal - Nordsk,,704,,,
ATB:Line:0004-2018-06-25,ATB:Authority:160,4,Strindheim/Lade- M2- Heimdal,,704,,,
ATB:Line:0001-2018-06-25,ATB:Authority:160,1,St. Olavs gate - Lian,,902,,,
ATB:Line:0089-2018-06-25,ATB:Authority:160,89,Skytterbanen- K1- St. Olav,,704,,,
ATB:Line:0003-2018-06-25,ATB:Authority:160,3,Lade- M2- Sjetnmarka,,704,,,
ATB:Line:0088-2018-06-25,ATB:Authority:160,88,Sandmoen- Ila via St. Olav,,704,,,
ATB:Line:0800-2018-06-25,ATB:Authority:160,800,Trondheim - Brekstad - Kristia,,1004,,,
ATB:Line:0777-2018-06-25,ATB:Authority:160,777,Reppe - Reppevegen,,704,,,
ATB:Line:0805-2018-06-25,ATB:Authority:160,805,Skaun - Børsa,,1004,,,
ATB:Line:0008-2018-06-25,ATB:Authority:160,8,Risvollan- K1- Stavset,,704,,,
ATB:Line:0820-2018-06-25,ATB:Authority:160,820,Dyrøy - Lomsøya - Maursundvær,,1004,,,
