Forsøket	568508.386	7028965.127
Fortuna	557661.579	7032159.726
Fortuna	557690.004	7032085.206
Fossegrenda	569946.014	7029692.975
Fossegrenda	569914.588	7029708.186
Fossegrenda 2	569816	7029754
Framveien	568010.068	7032637.629
Framveien	568036.891	7032639.287
Furuhaugen	566933.297	7028223.215
Furuhaugen	567008.503	7028285.815
Fykenborg	577616.957	7033340.099
Fykenborg	577782.434	7032889.209
G	569893	7031778
Gamle Oslovei	567539.735	7032828.415
Gamle Oslovei	567639.829	7032820.321
Gammel-lina	568246.656	7029100.246
Gammel-lina	568236.692	7029092.976
Gartnerhallen	573106.454	7033802.925
Gartnerhallen	573097.569	7033797.938
Gaustadgjerdet	559383.0	7026920.176
Gaustadgjerdet	559336.295	7026975.208
Geilmunnet	565500	7025686
Gildheim	572947.641	7034780.722
Gildheim	573000.919	7034735.205
Gina Krogs veg	571677.958	7034193.662
Gina Krogs veg	571624.2	7034175.622
Gisvold	572139.254	7027356.585
Gisvold	572133.287	7027328.252
Gløshaugen nord	570198.704	7032968.805
Gløshaugen nord	570191.251	7032954.613
Gløshaugen syd	570332.091	7032748.991
Gløshaugen syd	570275.17	7032782.175
Godsterminalen NSB	567906.401	7024260.14
Godsterminalen NSB	567911.73	7024266.811
Gogstadbakken	565264.802	7036438.37
Gogstadbakken	565268.52	7036442.531
Granhaugan	569326.003	7027579.611
Granhaugan	569430.956	7027657.242
Granli	577180	7030391
Granli	577185	7030397
Granåsen gård	573375.233	7032660.198
Granåsen gård	573465.062	7032587.699
Granåsen VM-anlegget	565824.251	7028532.893
Granåsen VM-anlegget	565845.469	7028466.928
Granåsveien	572862.93	7033032.253
Granåsveien	572793.669	7032916.067
Grilstadkleiva	574857.327	7034804.621
Grilstadkleiva	574854.198	7034777.008
Anton Jenssens veg	575208	7034716
Grinden	558169	7028788
Grinden	558160	7028773
Gryta, Trondheim	572500.065	7031714.706
Gryta, Trondheim	572489.114	7031713.573
Grønlia	565024.98	7032522.462
Grønlia	565086.202	7032548.591
Graaemølna	570665.725	7034861.085
Graaemølna	570634.288	7034850.37
Gudes gt.	570282.859	7033198.605
Gudruns gt.	569006	7033708
Gudruns gt.	569016	7033709
Hagen, Trondheim	570237.299	7027679.369
Hallfred Høyems vei	573272.751	7033205.164
Hallfred Høyems vei	573239.378	7033189.896
Halstein gård	570173.949	7027433.139
Hammersborg	567745.374	7033530.421
Hammersborg	567747.742	7033514.513
Hangeråsen	555096.482	7027796.334
Hangeråsen	555087.986	7027792.973
Hangran	553729.983	7028596.394
Hangran	553724.103	7028598.687
Hanskemakerbakken	568111.747	7034159.066
Hanskemakerbakken	568083.001	7034179.701
Harald Bothnersv.	570864.195	7032877.033
Harald Gilles veg	570822.862	7033126.37
Harald Hårfagres gt.	571819.498	7035937.227
Harald Hårfagres gt.	571792.152	7035962.278
Hasselbakken	574515	7035060
Haugbjørg	559867.389	7026149.342
Haugbjørg	559845.636	7026185.86
Haugnessvingen	569693.712	7029570.368
Haugnessvingen	569667.3	7029573.839
Haugrønning	553388.602	7030474.308
Haugrønning	553382.965	7030464.314
Haukåsen	566031.603	7030324.341
Haukåsen	566031.603	7030324.341
Havstadsenteret	567917.643	7031740.65
Havstadsenteret	567892.595	7031727.772
Hegdalen	572431.173	7031836.637
Hegdalen	572364.125	7031879.06
Heggstad	567059.39	7024299.884
Heggstad	567025.354	7024296.213
Heggstaddalen	566888.982	7023857.323
Heggstaddalen	566887.556	7023870.582
Heggstadmoen 2	567743.832	7024194.487
Heggstadmoen 2	567737.619	7024189.128
Heggstadmoen 4	567749.806	7024053.427
Heggstadmoen 4	567743.492	7024052.553
Heggstadmyra	567844	7023569
Heggstadmyra	567830	7023559
Hegsnippen	557343.26	7033181.945
Hegsnippen	557256.013	7033064.747
Heimdal sentrum	567892.757	7025481.664
Heimdal st.	567922.979	7025482.489
Heimdalsvegen 73	567393.324	7024627.229
Heimdalsvegen 73	567378.315	7024627.396
Heimdalsveien	567764.245	7025113.654
Heimdalsveien	567706.424	7025061.273
Heimdalsveien 2	567750	7025021
Henrik Ourens vei	572209.337	7032760.741
Henrik Ourens vei	572184.368	7032708.05
Herlofsenløypa	565934	7031418
Herlofsenløypa	565907	7031410
Hestsjøen	563654.726	7025931.195
Hestsjøen	563615.614	7025926.135
Hitravegen	575583.102	7034576.497
Hitravegen	575464.052	7034638.647
Hjalmar Johansensv.	568195.366	7033512.54
Hoeggen sk	571600.093	7031108.066
Hoeggen sk	571620.974	7031096.064
Hornebergveien	570040	7030227
Hornebergveien	570021	7030216
Hospitalkirka	569090.913	7034276.22
Hospitalkirka	569118.392	7034286.775
Hospitalkirka	569092	7034279
Hospitalkirka	569117	7034283
Husebytunet	567261.192	7027376.578
Husebytunet	567270.301	7027405.894
Høgreina	566950.425	7028714.837
Høgreina	566999.441	7028707.939
Høgreina øvre	566752.065	7028689.175
Høgreina øvre	566751.109	7028694.171
Høiset	573053.408	7032323.637
Høiset	573065.347	7032322.036
Høstad	558013.734	7031399.729
Høstad	558006.325	7031390.361
Høstadkorsen	557856.403	7031793.559
Høstadkorsen	557838.941	7031807.149
Høvringen	566678.398	7035920.927
Høvringen	566629.764	7035977.184
Høyskoleringen	570093.722	7033253.178
Høyskoleringen	570135.061	7033191.282
Haakon VII gt. 17	572533.44	7035706.826
Haakon VII gt. 17	572562.566	7035673.055
Haakon VII gt. 25	572829.456	7035496.861
Haakon VII gt. 25	572857.812	7035464.11
Haakon VII gt. 29	573137.925	7035283.097
Haakon VII gt. 29	573117.328	7035283.355
Haakon VII gt. 9	572277.714	7035887.482
Haakon VII gt. 9	572306.673	7035854.043
Idrettsplassen Jakobsli	574571.408	7032748.103
Idrettsplassen Jakobsli	574584.411	7032766.837
Idrettsveien	568392.944	7025422.047
Idrettsveien	568388.26	7025343.28
IKEA	573470	7034119
Ila	568236.693	7034104.152
Ila	568253.452	7034146.085
Ila	568284	7034151
Ila	568254	7034146
Ilsvika	567780	7034369
Ilsvika	567780	7034369
Ingeborg Ofstadsv.	570005.947	7026136.301
Ingeborg Ofstadsv.	569993.965	7026135.004
Ingemann Torps vei	571938.957	7036111.424
Ingemann Torps vei	571933.305	7036127.743
Isdamveien	568964.606	7024852.073
Isdamveien	568926.263	7024763.066
Ishallen	573226	7034010
Ishallen	573116	7033880
Iskremfabrikken	573243.077	7033667.635
Iskremfabrikken	573259.238	7033638.827
Ivar Skjånes vei	568910	7025951
Ivar Skjånes vei	568890	7026007
Jakobsli	574273.785	7032229.455
Jakobsli	574478.433	7032168.315
Jakobsliv. Nedre	574574.379	7034195.571
Jakobsliv. Nedre	574577.261	7034201.104
Jakobsliv. Øvre	574482.088	7032285.535
Jakobsliv. Øvre	574528.321	7032348.657
Joh. Falkbergets veg	568030.363	7032235.741
Joh. Falkbergets veg	567962.727	7032134.502
Johan P Kroglundsv.	567075.005	7025609.628
Johan P Kroglundsv.	567086.176	7025667.583
Johan Tillersv.	568039.962	7025063.244
Johan Tillersv.	568034.108	7025061.79
Johannes Minsaa`s veg	575766.379	7034326.681
John Aae`s veg	569055.199	7026811.119
Jonsborg	577681	7030552
Jonsborg	577682	7030543
Jonsvannsveien	570543.268	7033466.357
Jonsvannsveien	570551.249	7033455.573
Jørgen. B. Lysholmsvei	572850.346	7035829.888
Jørgen. B. Lysholmsvei	572850.158	7035821.201
K. Jonssons vei	570356.935	7031147.482
K. Jonssons vei	570366.004	7031088.86
K.O.Thornæsv.	571763.355	7031704.404
K.O.Thornæsv.	571827.112	7031711.053
Kalvskinnet	568856.975	7034267.78
Kalvskinnet	568783.124	7034273.727
Kalvskinnet	568845	7034271
Kalvskinnet	568781	7034271
Kambru	572276	7024257
Kambru	572276	7024257
Karlsheim	574974.638	7031935.805
Karlsheim	575035.552	7031896.199
Karrosserifabrikken	558042.327	7029118.802
Karrosserifabrikken	558064.009	7029037.533
